date,area_km2,data_source,cloud_coverage_percent,estimated_storage_bcm,cwc_storage_bcm,percent_full
2000-01-01,2.4685001308337413,jrc,,4.242156452629321e-06,,0.002772651276228314
2000-02-01,2.209450856713851,jrc,,1.2459577279551606e-06,,0.0008143514561798435
2000-03-01,1.8133137670979886,jrc,,1.4035177057597576e-07,,9.173318338299069e-05
2000-04-01,1.5354424324831506,jrc,,2.2331285460131225e-08,,1.4595611411850473e-05
2000-05-01,0.0,jrc,,0.0,,0.0
2000-06-01,0.0,jrc,,0.0,,0.0
2000-07-01,0.0,jrc,,0.0,,0.0
2000-08-01,0.15586238336181674,jrc,,2.344331654327149e-19,,1.532242911324934e-16
2000-09-01,0.7489443497314489,jrc,,8.006594336698736e-12,,5.233068193920742e-09
2000-10-01,0.8399977079467743,jrc,,2.8450750852407756e-11,,1.859526199503775e-08
2000-11-01,0.9244907511596648,jrc,,8.204986562794903e-11,,5.362736315552224e-08
2000-12-01,0.0,jrc,,0.0,,0.0
2001-01-01,0.760207188268092,jrc,,9.44243181223892e-12,,6.171524060286876e-09
2001-02-01,0.7210598029785223,jrc,,5.2644094026254315e-12,,3.4407904592323086e-09
2001-03-01,0.42328709020996075,jrc,,1.461828335671051e-14,,9.554433566477458e-12
2001-04-01,0.38391173895263714,jrc,,4.969376092595498e-15,,3.247958230454574e-12
2001-05-01,0.0,jrc,,0.0,,0.0
2001-06-01,0.0,jrc,,0.0,,0.0
2001-07-01,0.0,jrc,,0.0,,0.0
2001-08-01,0.0,jrc,,0.0,,0.0
2001-09-01,1.3590828437380185,jrc,,5.799061150839751e-09,,3.790236046300491e-06
2001-10-01,0.0,jrc,,0.0,,0.0
2001-11-01,1.4740963820800739,jrc,,1.423081404106151e-08,,9.301185647752621e-06
2001-12-01,0.0,jrc,,0.0,,0.0
2002-01-01,1.3221142151235399,jrc,,4.275654638390352e-09,,2.7945455152878118e-06
2002-02-01,0.0,jrc,,0.0,,0.0
2002-03-01,0.9655126816406232,jrc,,1.3257006301783606e-10,,8.664710001165756e-08
2002-04-01,0.0,jrc,,0.0,,0.0
2002-05-01,0.30024160363769603,jrc,,3.284819755206068e-16,,2.146941016474554e-13
2002-06-01,0.1328932717895508,jrc,,4.0260529468763137e-20,,2.63140715482112e-17
2002-07-01,0.0,jrc,,0.0,,0.0
2002-08-01,0.0,jrc,,0.0,,0.0
2002-09-01,1.6504512885742273,jrc,,4.960991903339349e-08,,3.242478368195653e-05
