reservoir_id,cwc_name,date,live_storage_bcm,percent_frl,percent_normal,live_capacity_at_frl_bcm,normal_storage_bcm,source_url,source_lines
tehri,Tehri,2026-04-16,0.341,13.05,14.58,2.615,,local://bulletin_2026_04_16.pdf,
mettur,Mettur,2026-04-16,1.234,46.62,45.19,2.647,,local://bulletin_2026_04_16.pdf,
jayakwadi,Jayakwadi,2026-04-16,1.19,54.82,37.4,2.171,,local://bulletin_2026_04_16.pdf,
indira_sagar,Indira Sagar,2026-04-16,3.697,37.94,34.66,9.745,,local://bulletin_2026_04_16.pdf,
nagarjuna_sagar,Nagarjuna Sagar,2026-04-16,0.885,17.33,12.91,5.108,,local://bulletin_2026_04_16.pdf,
srisailam,Srisailam,2026-04-16,1.072,17.83,13.88,6.013,,local://bulletin_2026_04_16.pdf,
sardar_sarovar,Sardar Sarovar,2026-04-16,3.25,56.42,21.06,5.76,,local://bulletin_2026_04_16.pdf,
ukai,Ukai,2026-04-16,3.902,58.99,45.21,6.615,,local://bulletin_2026_04_16.pdf,
kabini,Kabini,2026-04-16,0.11,24.79,25.02,0.444,,local://bulletin_2026_04_16.pdf,
hemavathy,Hemavathy,2026-04-16,0.385,41.56,29.61,0.927,,local://bulletin_2026_04_16.pdf,
harangi,Harangi,2026-04-16,0.073,33.11,27.66,0.22,,local://bulletin_2026_04_16.pdf,
vaigai,Vaigai,2026-04-16,0.017,10.08,36.82,0.172,,local://bulletin_2026_04_16.pdf,
idukki,Idukki,2026-04-16,0.539,36.92,38.55,1.46,,local://bulletin_2026_04_16.pdf,
idamalayar,Idamalayar,2026-04-16,0.334,32.77,34.26,1.018,,local://bulletin_2026_04_16.pdf,
bisalpur,Bisalpur,2026-04-16,0.885,82.26,45.64,1.076,,local://bulletin_2026_04_16.pdf,
maithon,Maithon,2026-04-16,0.413,87.69,66.79,0.471,,local://bulletin_2026_04_16.pdf,
panchet,Panchet,2026-04-16,0.184,100.0,71.14,0.184,,local://bulletin_2026_04_16.pdf,
bargi,Bargi,2026-04-16,1.144,35.97,50.07,3.18,,local://bulletin_2026_04_16.pdf,
singur,Singur,2026-04-16,0.191,23.29,41.31,0.822,,local://bulletin_2026_04_16.pdf,
krs,Krishnaraja Sagara,2026-04-16,0.43,36.99,28.23,1.163,,local://bulletin_2026_04_16.pdf,
bhakra,Gobind Sagar,2026-04-16,2.295,36.85,26.23,6.229,,local://bulletin_2026_04_16.pdf,
bhavanisagar,Lower Bhawani,2026-04-16,0.314,39.71,39.93,0.792,,local://bulletin_2026_04_16.pdf,
khadakwasla,Khadakvasla,2026-04-16,0.03,53.04,68.55,0.056,,local://bulletin_2026_04_16.pdf,
totladoh,Pench,2026-04-16,0.555,50.9,40.68,1.091,,local://bulletin_2026_04_16.pdf,
