cwc_name,reservoir_id
Krishna Raja Sagar,krs
Krishnaraja Sagara,krs
Krishnaraja Sagar,krs
KRS,krs
Mettur,mettur
METTUR,mettur
Stanley,mettur
Indira Sagar,indira_sagar
INDIRA SAGAR,indira_sagar
Jayakwadi,jayakwadi
JAYAKWADI,jayakwadi
Bhakra,bhakra
BHAKRA,bhakra
Gobind Sagar,bhakra
Tehri,tehri
TEHRI,tehri
Nagarjuna Sagar,nagarjuna_sagar
NAGARJUNA SAGAR,nagarjuna_sagar
Srisailam,srisailam
SRISAILAM,srisailam
Sardar Sarovar,sardar_sarovar
SARDAR SAROVAR,sardar_sarovar
Ukai,ukai
UKAI,ukai
Kabini,kabini
KABINI,kabini
Hemavathy,hemavathy
HEMAVATHY,hemavathy
Harangi,harangi
HARANGI,harangi
Bhavanisagar,bhavanisagar
BHAVANISAGAR,bhavanisagar
Lower Bhavani,bhavanisagar
Vaigai,vaigai
VAIGAI,vaigai
Mullaperiyar,mullaperiyar
MULLAPERIYAR,mullaperiyar
Idukki,idukki
IDUKKI,idukki
Idamalayar,idamalayar
IDAMALAYAR,idamalayar
Bisalpur,bisalpur
BISALPUR,bisalpur
Khadakwasla,khadakwasla
KHADAKWASLA,khadakwasla
Maithon,maithon
MAITHON,maithon
Panchet,panchet
PANCHET,panchet
Bargi,bargi
BARGI,bargi
Rani Avanti Bai Sagar,bargi
Totladoh,totladoh
TOTLADOH,totladoh
Pench,totladoh
Singur,singur
SINGUR,singur
